symbol,hourly_rate,annual_rate,mark_price,open_interest
BTC,0.00125,10.95,86079.0,25869.35536
ETH,0.00125,10.95,2804.3,395743.6188000001
ATOM,-0.00207747,-18.198637200000004,2.426,1623404.7599999998
MATIC,0.0,0.0,0.37621,0.0
DYDX,0.00125,10.95,0.23407,14362841.999999998
SOL,0.0005070399999999999,4.4416704,129.67,3362771.7600000007
AVAX,0.00125,10.95,13.347,4072630.54
BNB,0.00125,10.95,839.16,41221.35
APE,0.00125,10.95,0.28045,4223301.2
OP,0.00125,10.95,0.30455,9705872.0
LTC,0.00125,10.95,82.883,210827.98
ARB,-0.00011663,-1.0216787999999999,0.20235,20485715.8
DOGE,0.00027378,2.3983128000000002,0.14508,236690592.0
INJ,-0.00277722,-24.3284472,5.4485,443557.4
SUI,0.00043895,3.845202,1.3704,12532779.0
kPEPE,-0.0015624099999999998,-13.686711599999997,0.00422,2300908480.0
CRV,0.00125,10.95,0.38589,19620165.6
LDO,0.00037239,3.2621364,0.63246,8930545.600000001
LINK,0.00125,10.95,12.487,1544537.5999999999
STX,-0.0039543799999999995,-34.64036879999999,0.30771,3883748.6
RNDR,0.0,0.0,6.8952,0.0
CFX,0.00125,10.95,0.079764,10597300.0
FTM,0.0,0.0,0.71688,0.0
GMX,-0.0031942,-27.981192,8.441,86633.74
SNX,-0.0015617899999999997,-13.681280399999999,0.56525,10744983.999999998
XRP,0.00125,10.95,2.0617,95019386.0
BCH,0.00061432,5.3814432000000005,542.95,14782.376
APT,-0.00258136,-22.612713600000003,2.2846,4771824.68
AAVE,0.00125,10.95,169.28,159785.14
COMP,-0.00262481,-22.993335599999998,28.711,11757.2
MKR,0.0,0.0,1831.5,0.0
WLD,0.0006392500000000001,5.599830000000001,0.60045,9523870.0
FXS,-0.00156065,-13.671294,0.86196,319014.0
HPOS,0.0,0.0,0.041873,0.0
RLB,0.0,0.0,0.071,0.0
UNIBOT,0.0,0.0,7.636,0.0
YGG,0.00125,10.95,0.087643,1304392.0
TRX,0.00089829,7.869020400000001,0.27606,26696310.0
kSHIB,-0.00218834,-19.1698584,0.007967,658865252.0
UNI,-0.00125221,-10.969359599999999,6.1025,4964075.999999999
SEI,-0.00199181,-17.4482556,0.1316,23348906.0
RUNE,0.00125,10.95,0.62438,2580315.4000000004
OX,0.0,0.0,0.007459,0.0
FRIEND,0.0,0.0,4.72,0.0
SHIA,0.0,0.0,0.000621,0.0
CYBER,0.0,0.0,1.0415,0.0
ZRO,-0.0005206200000000001,-4.5606312,1.2418,2076671.2
BLZ,0.0,0.0,0.070043,0.0
DOT,-0.0009665699999999999,-8.467153199999998,2.2651,2146226.8
BANANA,-0.0009742700000000001,-8.5346052,7.1106,36972.6
TRB,-0.00017874,-1.5657624,19.882,12982.74
FTT,0.00125,10.95,0.59399,81628.0
LOOM,0.0,0.0,0.071161,0.0
OGN,0.0,0.0,0.055683,0.0
RDNT,0.0,0.0,0.018328,0.0
ARK,-0.00299939,-26.274656399999998,0.26743,1732428.0
BNT,0.0,0.0,0.38287,0.0
CANTO,0.0,0.0,0.066,0.0
REQ,0.0,0.0,0.15473,0.0
BIGTIME,-0.00386047,-33.817717200000004,0.02264,10656648.0
KAS,0.00125,10.95,0.04046,19074212.0
ORBS,0.0,0.0,0.01939,0.0
BLUR,0.00125,10.95,0.03763,18246812.0
TIA,-0.00016364,-1.4334863999999998,0.61451,6734238.6
BSV,-0.00241953,-21.1950828,20.071,40399.2
ADA,-0.00044397,-3.8891772,0.40675,32562664.0
TON,0.00110413,9.672178800000001,1.485,7818671.2
MINA,0.00125,10.95,0.10699,14405968.0
POLYX,0.00125,10.95,0.06308,5712804.0
GAS,0.00056256,4.9280256,2.11,194844.6
PENDLE,0.00125,10.95,2.2745,2709024.0
STG,0.0,0.0,0.15387,0.0
FET,-0.003189,-27.935639999999996,0.27213,4351654.0
STRAX,0.0,0.0,1.5829,0.0
NEAR,0.00125,10.95,1.8534,9698943.6
MEME,0.00125,10.95,0.001263,586482604.0
ORDI,0.00125,10.95,3.8375,80881.24
BADGER,0.0,0.0,0.88823,0.0
NEO,0.00125,10.95,4.122,95105.36
ZEN,-0.00113231,-9.9190356,12.236,144705.1
FIL,-0.00102862,-9.010711200000001,1.6012,1768618.0000000002
PYTH,0.00040266,3.5273016,0.072793,17408200.0
SUSHI,-0.00127261,-11.1480636,0.40158,742810.0
ILV,0.0,0.0,12.118,0.0
IMX,-0.00329119,-28.8308244,0.30737,12474030.4
kBONK,-0.00045191,-3.9587315999999997,0.008998,555417510.0
GMT,0.00125,10.95,0.018596,8871720.0
SUPER,-0.016844869999999998,-147.56106119999998,0.20225,2956134.0
USTC,0.00125,10.95,0.005744,77733860.0
NFTI,0.0,0.0,6.5609,0.0
JUP,-0.0017122300000000001,-14.9991348,0.23363,17094808.0
kLUNC,0.00013027,1.1411652,0.026534,8029254.0
RSR,0.00125,10.95,0.003252,84624228.0
GALA,0.00125,10.95,0.007343,50186226.0
JTO,0.00111383,9.7571508,0.46584,3342552.0
NTRN,0.0,0.0,0.1238,0.0
ACE,-0.008836749999999999,-77.40993,0.2175,770042.9
MAV,-0.08173767,-716.0219892,0.032115,41929334.0
WIF,0.00125,10.95,0.33919,15589730.0
CAKE,0.00125,10.95,2.3286,864347.1999999998
PEOPLE,0.00125,10.95,0.009545,22110986.0
ENS,8.392000000000001e-05,0.7351392,11.008,105001.9
ETC,0.00125,10.95,13.49,128780.76
XAI,-0.017263050000000002,-151.224318,0.02049,53923645.2
MANTA,-0.00269572,-23.6145072,0.11655,1880680.2
UMA,0.00125,10.95,0.81344,1026194.6
ONDO,0.00125,10.95,0.47185,8158814.0
ALT,0.00125,10.95,0.01332,41054936.0
ZETA,-0.007510869999999999,-65.7952212,0.08768,11672168.799999999
DYM,-0.08019849999999999,-702.5388599999999,0.10786,10160543.2
MAVIA,-0.0009570300000000001,-8.383582800000001,0.0601,7340523.8
W,0.00098186,8.601093599999999,0.04432,46927516.2
PANDORA,0.0,0.0,3026.3,0.0
STRK,-0.0008616300000000001,-7.547878800000001,0.13797,92504278.0
PIXEL,0.0,0.0,0.024027,0.0
AI,0.0,0.0,0.12555,0.0
TAO,-0.00312129,-27.3425004,279.11,59161.136
AR,-0.00555463,-48.6585588,3.9087,277457.3
MYRO,0.0,0.0,0.015813,0.0
kFLOKI,-0.00027515,-2.4103139999999996,0.04531,31690108.0
BOME,0.00125,10.95,0.000687,281821960.0
ETHFI,0.00125,10.95,0.69683,6572623.6
ENA,0.00125,10.95,0.2423,171196160.0
MNT,0.00125,10.95,0.99485,3872367.8000000003
TNSR,-0.13632784,-1194.2318784000001,0.14516,18767623.4
SAGA,0.00125,10.95,0.0857,15727068.4
MERL,-0.00361374,-31.656362399999995,0.35595,6136508.0
HBAR,-0.00140084,-12.271358399999999,0.14344,19462960.0
POPCAT,0.00125,10.95,0.092721,31919184.0
OMNI,0.0,0.0,4.1915,0.0
EIGEN,0.00027086000000000005,2.3727336000000006,0.5508,6108121.74
REZ,-0.00039678999999999995,-3.4758803999999994,0.006379,88439702.0
