symbol,hourly_rate,annual_rate,mark_price,open_interest
BTC,0.00125,10.95,86226.0,25865.484
ETH,0.00125,10.95,2816.3,394193.8008
ATOM,-0.00303643,-26.599126800000004,2.4335,1625014.9200000002
MATIC,0.0,0.0,0.37621,0.0
DYDX,0.00125,10.95,0.23525,14400315.2
SOL,0.00096594,8.4616344,130.21,3357543.4000000004
AVAX,0.00125,10.95,13.377,4071232.3600000003
BNB,0.00125,10.95,841.81,41185.646
APE,0.00125,10.95,0.28145,4219715.0
OP,0.00125,10.95,0.30565,9913543.2
LTC,0.00125,10.95,83.07,211460.34
ARB,0.0006778800000000001,5.938228800000001,0.20313,20459307.400000002
DOGE,0.00104078,9.117232800000002,0.14588,236917384.0
INJ,-0.00365887,-32.0517012,5.4772,446832.6
SUI,0.00062334,5.4604584,1.3779,12525727.8
kPEPE,-0.00205647,-18.0146772,0.004243,2287078786.0
CRV,0.00125,10.95,0.38744,19527537.799999997
LDO,-0.0010078700000000001,-8.828941200000001,0.63684,9003240.6
LINK,0.00125,10.95,12.552,1544795.0000000002
STX,-0.00480973,-42.1332348,0.3093,3882627.9999999995
RNDR,0.0,0.0,6.8952,0.0
CFX,0.00125,10.95,0.080025,10600796.0
FTM,0.0,0.0,0.71688,0.0
GMX,-0.00663157,-58.0925532,8.4923,86370.32
SNX,-0.0027724200000000003,-24.286399199999998,0.56556,10719487.999999996
XRP,0.00125,10.95,2.0881,94877694.0
BCH,0.00125,10.95,545.17,14783.668
APT,-0.00236893,-20.7518268,2.2779,4772489.259999999
AAVE,0.00125,10.95,170.09,159713.64
COMP,-0.00069977,-6.1299852,28.793,11745.96
MKR,0.0,0.0,1831.5,0.0
WLD,0.00030021999999999997,2.6299272,0.60324,9509363.6
FXS,-0.00114025,-9.98859,0.8651,332727.4
HPOS,0.0,0.0,0.041873,0.0
RLB,0.0,0.0,0.071,0.0
UNIBOT,0.0,0.0,7.636,0.0
YGG,0.00125,10.95,0.08815,1304558.0
TRX,0.0010639,9.319764,0.27619,26677652.0
kSHIB,-0.00199827,-17.5048452,0.007988,658777632.0
UNI,-3.979e-05,-0.3485604,6.167,4967040.599999998
SEI,-0.00376017,-32.939089200000005,0.1319,23652006.0
RUNE,0.00125,10.95,0.62542,2580423.2
OX,0.0,0.0,0.007459,0.0
FRIEND,0.0,0.0,4.72,0.0
SHIA,0.0,0.0,0.000621,0.0
CYBER,0.0,0.0,1.0415,0.0
ZRO,-0.0005566799999999999,-4.876516799999999,1.2445,2074941.8
BLZ,0.0,0.0,0.070043,0.0
DOT,-0.00036558,-3.2024808000000005,2.2735,2149053.5999999996
BANANA,-0.0017611,-15.427236,7.1484,37257.0
TRB,0.00125,10.95,19.909,12860.76
FTT,0.00125,10.95,0.59261,81628.0
LOOM,0.0,0.0,0.071161,0.0
OGN,0.0,0.0,0.055683,0.0
RDNT,0.0,0.0,0.018328,0.0
ARK,0.00125,10.95,0.26715,1732626.0
BNT,0.0,0.0,0.38287,0.0
CANTO,0.0,0.0,0.066,0.0
REQ,0.0,0.0,0.15473,0.0
BIGTIME,0.00125,10.95,0.022693,10718324.0
KAS,0.00125,10.95,0.040625,19074018.0
ORBS,0.0,0.0,0.01939,0.0
BLUR,0.00125,10.95,0.037683,18238230.0
TIA,-9.043e-05,-0.7921668,0.61775,6803086.800000001
BSV,-0.00301394,-26.402114400000002,20.225,40397.02
ADA,-0.00035714,-3.1285464,0.40895,32628672.0
TON,0.00125,10.95,1.4896,7826334.6
MINA,0.00125,10.95,0.10736,14420018.0
POLYX,0.00125,10.95,0.06325,5721510.0
GAS,0.00125,10.95,2.1165,194915.0
PENDLE,0.00125,10.95,2.282,2709922.0
STG,0.0,0.0,0.15387,0.0
FET,-0.00150486,-13.1825736,0.27358,4349090.0
STRAX,0.0,0.0,1.5829,0.0
NEAR,0.00125,10.95,1.8687,9711018.599999996
MEME,0.00125,10.95,0.001267,586335368.0
ORDI,0.00125,10.95,3.87,80680.2
BADGER,0.0,0.0,0.88823,0.0
NEO,0.00125,10.95,4.1266,95273.26
ZEN,0.0011220099999999999,9.8288076,12.2,144121.32
FIL,-0.0005910500000000001,-5.177598000000001,1.6035,1767545.6
PYTH,-0.00106944,-9.3682944,0.073195,17849484.0
SUSHI,-0.00029899,-2.6191524,0.4036,742738.6
ILV,0.0,0.0,12.118,0.0
IMX,0.00125,10.95,0.30832,12470586.8
