symbol,hourly_rate,annual_rate,mark_price,open_interest
BTC,0.00125,10.95,85893.0,25866.07102
ETH,0.00125,10.95,2799.1,395496.8245999999
ATOM,-0.00226443,-19.836406800000002,2.429,1623302.06
MATIC,0.0,0.0,0.37621,0.0
DYDX,0.00125,10.95,0.23401,14367919.399999999
SOL,0.00048994,4.2918744,129.37,3360393.019999999
AVAX,0.00125,10.95,13.33,4072970.26
BNB,0.00125,10.95,838.23,41221.006
APE,0.00125,10.95,0.28022,4223301.2
OP,0.00125,10.95,0.30406,9705041.0
LTC,0.00125,10.95,82.765,210786.58
ARB,-0.00013544,-1.1864544,0.20199,20494890.4
DOGE,0.00028919,2.5333044,0.1448,236707518.0
INJ,-0.00278482,-24.395023199999997,5.4405,443557.4
SUI,0.00041284000000000004,3.6164784000000005,1.368,12533778.400000002
kPEPE,-0.0015918500000000001,-13.944606,0.004213,2300866456.0
CRV,0.00125,10.95,0.38522,19620841.8
LDO,0.00031521,2.7612396,0.63105,8930483.4
LINK,0.00125,10.95,12.461,1545095.4
STX,-0.00397725,-34.84071,0.307,3883170.2
RNDR,0.0,0.0,6.8952,0.0
CFX,0.00125,10.95,0.07965,10585870.0
FTM,0.0,0.0,0.71688,0.0
GMX,-0.0031401,-27.507275999999997,8.4285,86651.16
SNX,-0.00158985,-13.927086,0.56363,10744491.999999998
XRP,0.00125,10.95,2.0578,95018072.0
BCH,0.00062029,5.4337404000000005,542.45,14781.758
APT,-0.00249156,-21.826065599999996,2.2805,4772337.88
AAVE,0.00125,10.95,168.93,159786.7199999999
COMP,-0.00251974,-22.0729224,28.67,11765.6
MKR,0.0,0.0,1831.5,0.0
WLD,0.00075783,6.6385908,0.59962,9523194.4
FXS,-0.00162847,-14.265397199999999,0.86131,319014.0
HPOS,0.0,0.0,0.041873,0.0
RLB,0.0,0.0,0.071,0.0
UNIBOT,0.0,0.0,7.636,0.0
YGG,0.00125,10.95,0.08755,1303384.0
TRX,0.00094069,8.2404444,0.27605,26688634.0
kSHIB,-0.00230059,-20.1531684,0.007951,658861082.0
UNI,-0.00122663,-10.7452788,6.0932,4964099.4
SEI,-0.0019275899999999999,-16.8856884,0.13143,23337292.0
RUNE,0.00125,10.95,0.62322,2580316.1999999997
OX,0.0,0.0,0.007459,0.0
FRIEND,0.0,0.0,4.72,0.0
SHIA,0.0,0.0,0.000621,0.0
CYBER,0.0,0.0,1.0415,0.0
ZRO,-0.00039841,-3.4900715999999994,1.241,2076509.8
BLZ,0.0,0.0,0.070043,0.0
DOT,-0.00097271,-8.5209396,2.2615,2146315.4000000004
BANANA,-0.0011166,-9.781416,7.1023,36930.4
TRB,-0.00013712000000000002,-1.2011712,19.871,12982.74
FTT,0.00125,10.95,0.5932,81628.0
LOOM,0.0,0.0,0.071161,0.0
OGN,0.0,0.0,0.055683,0.0
RDNT,0.0,0.0,0.018328,0.0
ARK,-0.00225823,-19.7820948,0.26744,1732542.0
BNT,0.0,0.0,0.38287,0.0
CANTO,0.0,0.0,0.066,0.0
REQ,0.0,0.0,0.15473,0.0
BIGTIME,-0.0039558399999999995,-34.653158399999995,0.022628,10656342.0
KAS,0.00125,10.95,0.040381,19074976.0
ORBS,0.0,0.0,0.01939,0.0
BLUR,0.00125,10.95,0.03759,18236744.0
TIA,-0.00015327,-1.3426452,0.61439,6734508.4
BSV,-0.00257838,-22.5866088,20.056,40406.44
ADA,-0.00046866000000000003,-4.1054616,0.40592,32569112.0
TON,0.00102849,9.0095724,1.4835,7818806.0
MINA,0.00125,10.95,0.10704,14405968.0
POLYX,0.00125,10.95,0.06299,5712804.0
GAS,0.00048568,4.2545568,2.1059,194844.6
PENDLE,0.00125,10.95,2.2685,2710150.0
STG,0.0,0.0,0.15387,0.0
FET,-0.00332687,-29.143381200000004,0.27166,4351356.0
STRAX,0.0,0.0,1.5829,0.0
NEAR,0.00125,10.95,1.8504,9699003.399999999
MEME,0.00125,10.95,0.001261,586416670.0
ORDI,0.00125,10.95,3.8325,80892.2
BADGER,0.0,0.0,0.88823,0.0
NEO,0.00125,10.95,4.1192,95105.36
ZEN,-0.00126308,-11.0645808,12.212,144666.98
FIL,-0.00104649,-9.1672524,1.5969,1768683.2
PYTH,0.00041773,3.6593147999999998,0.072683,17413508.0
SUSHI,-0.00151024,-13.2297024,0.40114,742351.7999999999
ILV,0.0,0.0,12.118,0.0
IMX,-0.00310233,-27.1764108,0.30717,12474144.0
kBONK,-0.00050083,-4.3872708,0.008976,555417510.0
GMT,0.00125,10.95,0.01857,8860970.0
SUPER,-0.01659804,-145.3988304,0.20209,2955144.0
USTC,0.00125,10.95,0.00574,77722742.0
NFTI,0.0,0.0,6.5609,0.0
JUP,-0.00176233,-15.4380108,0.23327,17092310.0
kLUNC,0.00026722,2.3408472,0.026512,8033368.0
RSR,0.00125,10.95,0.003248,84656478.0
GALA,0.00125,10.95,0.007338,50128940.0
JTO,0.00107288,9.3984288,0.465,3342694.0
NTRN,0.0,0.0,0.1238,0.0
ACE,-0.00919388,-80.53838879999999,0.2176,769308.3200000001
MAV,-0.08397056,-735.5821055999999,0.031866,41929334.0
WIF,0.00125,10.95,0.3389,15575996.0
CAKE,0.00125,10.95,2.3253,864374.6000000001
PEOPLE,0.00125,10.95,0.009532,22101622.0
ENS,-1.836e-05,-0.1608336,10.993,105003.22
ETC,0.00125,10.95,13.475,127593.56
XAI,-0.017202330000000002,-150.6924108,0.02049,53923645.2
MANTA,-0.0028218,-24.718968000000004,0.1168,1881254.2000000002
UMA,0.00125,10.95,0.8135,1026194.6000000001
ONDO,0.00125,10.95,0.4716,8165750.0
ALT,0.00125,10.95,0.013297,41055424.0
ZETA,-0.0075346300000000005,-66.0033588,0.0876,11671748.2
DYM,-0.07989158,-699.8502407999999,0.10785,10209821.000000002
MAVIA,-0.0012353499999999999,-10.821665999999999,0.06014,7328477.2
W,0.0008502799999999999,7.448452799999998,0.04426,46927516.199999996
PANDORA,0.0,0.0,3026.3,0.0
STRK,-0.0005730199999999999,-5.019655199999999,0.1376,92518641.00000001
PIXEL,0.0,0.0,0.024027,0.0
AI,0.0,0.0,0.12555,0.0
TAO,-0.00321344,-28.149734400000003,278.88,59127.832
AR,-0.0056372,-49.381871999999994,3.9037,277447.6
MYRO,0.0,0.0,0.015813,0.0
kFLOKI,-0.00030141,-2.6403516000000002,0.04519,31691694.0
BOME,0.00125,10.95,0.000686,281978666.0
ETHFI,0.00125,10.95,0.69619,6572623.600000001
ENA,0.00125,10.95,0.24202,171223890.0
MNT,0.00125,10.95,0.9927,3872328.5999999996
TNSR,-0.1349406,-1182.079656,0.1442,18775638.800000004
SAGA,0.00125,10.95,0.0856,15728607.0
MERL,-0.00310719,-27.218984400000004,0.35532,6136704.0
HBAR,-0.0015926,-13.951176000000002,0.14305,19464358.0
POPCAT,0.00125,10.95,0.092463,31932854.0
